JP Title,Eng Title,★,FT Prelude,FT FS,FT CT,FT DLC1,FT DLC2,FT DLC3,FT DX,FT MM,FT MM2,MegaMix,MM Theme,MM DLC1,MM DLC2,MM DLC3,MM DLC4,MM DLC5,MM DLC6,MM Sega,MM DLC7,MM DLC8,MM DLC9,MM DLC10,MM DLC11
愛言葉,Aikotoba,7,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
アウト　オブ　エデン,Out of Eden,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
アカツキアライヴァル,Akatsuki Arrival,8.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
ACUTE,ACUTE,7.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
アゲアゲアゲイン,Ageage Again,8.5,×,×,×,✓,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
アドレサンス,Adolescence,8,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓
あなたの歌姫,I'm Your Diva,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×
Absolunote,Absolunote,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
AFTER BURNER,AFTER BURNER,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×
数多の舞 -Dance of many-,Dance of Many,7,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
アマツキツネ,Amatsu Kitsune,8,×,×,×,×,×,✓,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
雨のちSweet*Drops,Rain With A Chance of Sweet*Drops,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
ありふれたせかいせいふく,Arifureta Sekai Seifuku,9,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
アンハッピーリフレイン,Unhappy Refrain,9,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Ievan Polkka,Ievan Polkka,8,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
Yellow,Yellow,6,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×
Equation+**,Equation+**,8.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
1925,1925,8.5,×,×,×,×,×,✓,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Innocence,Innocence,6,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
いのちの歌,Song of Life,6,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
イヤイヤ星人,Iya Iya Seijin,9.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
erase or zero,Erase or Zero,8,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
いろは唄,Iroha Uta,9,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
インタビュア,Interviewer,7.5,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
Weekender Girl,Weekender Girl,7,✓,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
嘘つきベティ,Betty The Liar,8,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
歌に形はないけれど,Though My Song Has No Form,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×
裏表ラバーズ,Two-Sided Lovers,10,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
え?あぁ、そう。,"Hm? Ah, Yes.",8.5,×,✓,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×
LOL -lots of laugh-,LOL -lots of laugh-,7.5,×,×,×,×,✓,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
えれくとりっく・えんじぇぅ,Electric Angel,7,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
エレクトロサチュレイタ,Electrosaturator,8,×,×,✓,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×
エンヴィキャットウォーク,Envy Cat Walk,9.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
オオカミガール,Wolf Girl,7.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
ODDS&ENDS,Odds & Ends,8.5,×,✓,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
おはヨーデル (Oha-Yo-del!!),Oha-Yo-del!!,9,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
on the rocks,On The Rocks,8,×,×,✓,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
骸骨楽団とリリア,Gaikotsu Gakudan to Riria,9.5,×,×,×,×,✓,×,×,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×
片想いサンバ,One-Sided Love Samba,7.5,×,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
神曲,God-Tier Tune,7,×,✓,×,×,×,×,×,×,×,×,×,×,×,×,✓,×,×,×,×,×,×,×,×
