Number,JP Name,ENG Name
1,カイト V3,KAITO V3
2,カイト,KAITO Original
3,クラシック,Classic
4,キャンパス,Campus
5,ネコサイバー,Cyber Cat
6,スミレ,Violet
7,時雨,Shigure
8,VFニンジャ,VF Ninja
9,VFニンジャ AS,VF Ninja Alt.
10,レクイエム,Requiem
11,ギルティ,Guilty
12,ジェネラル,General
13,ジェネラル AS,General Alt.
14,KAITO 浴衣スタイル,KAITO Yukata Style
15,ジーニアス,Genius
16,学ラン★パーカー,School Uniform★Parka
17,オリジネイター,Originator
18,ホリデイ,Holiday
19,オンザロック,On The Rocks
20,Cheerful カイト,Cheerful KAITO
21,Cheerful カイト AS,Cheerful KAITO Alt.
22,ダイヤモンドダスト,Diamond Dust
23,テレカクシパーカー 青色,Bashful Parka Blue
24,カイト スイムウェア,KAITO Swimwear
25,カイト スイムウェアV,KAITO Swimwear V
26,カイト スイムウェアV AS,KAITO Swimwear V Alt.
27,KAITO ハーフスパッツ,KAITO Half Tights
28,プレイドリゾート,Plaid Resor
29,カイト ホワイトブレザー,White Blazer
30,零ノ桜・蒼雪,Rei-No-Sakura: Azure Snow
31,零ノ桜・白雪,Rei-No-Sakura: White Snow
32,カイト クリスマス,KAITO Christmas
33,プランス・ブラン,Prince Blanc
34,ローザ・ブルー,Rosa Blue
35,ローザ・ルーノ,Rosa Luno
36,カイト スイムウェアV/ST,KAITO Swimwear V Tan
37,カイト スイムウェアV AS/ST,KAITO Swimwear V Alt. Tan
38,おサカナつなぎ,Fishy Overalls
39,Phantom Thief カイト,Phantom Thief KAITO
40,鉄道員・空,Conductor Sky
41,パジャマパーティ カイト,Pajama Party KAITO
