Number,JP Name,ENG Name
1,巡音ルカ,Megurine Luka
2,巡音ルカ・華,Megurine Luka Blossom
3,シフォンワンピース,Chiffon Dress
4,フロイライン,Fraulein
5,ハードロック,Hard Rock
6,VFスーツ,VF Suit
7,サイレンス,Silence
8,ナギサ・レプカ,Nagisa Replica
9,ナギサ・レプカAS,Nagisa Replica Alt.
10,レーシングルカ2010ver.,Racing Luka 2010ver.
11,ゆるふわコーデ,Light & Casual
12,エターナルホワイト,Eternal White
13,アムール,Amour
14,巡音ルカ 浴衣スタイル,Megurine Luka Yukata Style
15,森の妖精姫,Wood Nymph
16,クイン・ビー,Queen Bee
17,放課後モード,After School Mode
18,サクセサー,Successor
19,テンプテ－ション,Temptation
20,リクルーター,Recruiter
21,フローラル,Floral
22,ロジカリスト,Logicist
23,CA 巡音ルカ,Cabin Attendant Megurine Luka
24,Cheerful ルカ,Cheerful Luka
25,インタビュア ルカ,Interviewer Luka
26,巡音ルカ スイムウェア,Megurine Luka Swimwear
27,巡音ルカ スイムウェアP,Megurine Luka Swimwear P
28,巡音ルカ リゾートビキニ,Megurine Luka Resort Bikini
29,巡音ルカ 競泳タイプ,Megurine Luka Racing Swimsuit
30,トゥインクルリゾート,Twinkle Resort
31,ルカ 魔女っ娘Style,Witch Girl Style
32,参ノ桜・楓香,San-No-Sakura: Maple
33,リンちゃん愛し隊2号,Rin-chan's #2 Fan
34,巡音ルカ クリスマス,Megurine Luka Christmas
35,フェアリーマカロン,Fairy Macaron
36,サイバーネイション,Cyber Nation
37,巡音ルカ コンフリクト,Megurine Luka Conflict
38,巡音ルカV4X,Megurine Luka V4X
39,巡音ルカ 紅玉,Megurine Luka Ruby
40,巡音ルカ スイムウェアP/ST,Megurine Luka Swimwear Tan
41,ねこみみパーカー,Kitty Ears Hoodie
42,鉄道員・薔薇,Train Conductor Rose
43,パジャマパーティ ルカ,Pajama Party Luka
